price,Brand,Movement,Case Size,Case Thickness,Case Shape,Case Material,Glass Material,Strap Material,Clasp Type,Gender,Water Resistance (M),Warranty Period,Country of Origin,Power Reserve,Jewels,Interchangeable Strap,Bezel,Limited Edition,Frequency (bph),Case Material Coating,precious_stone_on_Case,precious_stone_on_Dial,precious_stone_on_Bracelet,precious_stone_on_Crown,precious_stone_on_Clasp,precious_stone_on_Bezel,precious_stone_on_Lugs,feature_Power Reserve Indicator,feature_Date,feature_Perpetual Calendar,feature_Retrograde,feature_Year,feature_Day-Night Indicator,feature_Small Seconds,feature_Month,feature_Moon Phase,feature_Tourbillon,feature_Dual Time,feature_Jumping Hours
1580000,Girard-Perregaux,Automatic,38.0,10.0,Octagon,Steel,Sapphire Crystal,Steel,Folding,Unisex,100.0,2.0,Switzerland,46.0,27.0,0,No Bezel,0,28800.0,No coating,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2000000,Girard-Perregaux,Automatic,38.0,10.0,Octagon,Steel,Sapphire Crystal,Steel,Folding,Women,100.0,2.0,Switzerland,46.0,27.0,0,No Bezel,0,28800.0,No coating,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
890000,Zenith,Automatic,41.0,11.6,Octagon,Steel,Sapphire Crystal,Steel,Folding,Unisex,100.0,2.0,Switzerland,60.0,26.0,1,No Bezel,0,36000.0,No coating,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1190000,Zenith,Automatic,36.0,10.35,Octagon,Steel,Sapphire Crystal,Steel,Folding,Women,100.0,2.0,Switzerland,50.0,27.0,1,No Bezel,0,28800.0,No coating,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
623800,Omega,Quartz,36.0,10.071599999999956,Round,G-S Hybrid,Sapphire Crystal,G-S Hybrid,Folding,Men,30.0,5.0,Switzerland,52.5788,0.0,0,No Bezel,0,36000.0,No coating,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
646100,Omega,Quartz,28.0,7.751399999999982,Round,G-S Hybrid,Sapphire Crystal,G-S Hybrid,Others,Women,30.0,5.0,Switzerland,37.40496,0.0,0,No Bezel,0,28800.0,No coating,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1288000,BVLGARI,Automatic,38.0,8.76142,Round,Gold,Sapphire Crystal,Leather,Tang,Men,50.0,5.0,Switzerland,42.0,26.0,0,No Bezel,0,28800.0,No coating,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
640000,BVLGARI,Quartz,33.0,7.722110000000015,Round,G-S Hybrid,Sapphire Crystal,Steel,Folding,Women,30.0,5.0,Switzerland,42.633999999999986,0.0,0,No Bezel,0,21600.0,No coating,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240000,Oris,Automatic,43.5,13.5,Round,Ceramic,Sapphire Crystal,Steel,Folding,Men,300.0,2.0,Switzerland,41.0,26.0,0,Unidirectional Rotating Bezel,0,28800.0,No coating,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
235000,Oris,Automatic,36.5,12.0,Round,Steel,Sapphire Crystal,Steel,Folding,Women,300.0,2.0,Switzerland,41.0,26.0,0,Unidirectional Rotating Bezel,0,28800.0,No coating,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
177300,Rado,Automatic,40.0,10.169713333333345,Round,Ceramic,Sapphire Crystal,Ceramic,Others,Men,50.0,5.0,Switzerland,78.584,0.0,0,No Bezel,0,36000.0,No coating,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
227100,Rado,Automatic,30.0,10.148880000000018,Round,Ceramic,Sapphire Crystal,Ceramic,Others,Women,50.0,5.0,Switzerland,52.812,0.0,0,No Bezel,0,28800.0,No coating,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
245000,Raymond Weil,Automatic,40.0,10.5,Square,Steel,Sapphire Crystal,Leather,Folding,Men,100.0,2.0,Switzerland,41.0,27.0,0,No Bezel,0,28800.0,No coating,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
285000,Raymond Weil,Automatic,34.5,9.3,Square,Steel,Sapphire Crystal,Leather,Folding,Women,100.0,2.0,Switzerland,41.0,26.0,0,No Bezel,0,28800.0,No coating,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
227500,Frederique Constant,Automatic,41.0,10.652420000000015,Round,G-S Hybrid,Sapphire Crystal,G-S Hybrid,Others,Men,50.0,2.0,Switzerland,38.0,26.0,0,No Bezel,0,28800.0,No coating,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
151500,Frederique Constant,Quartz,31.0,7.803160000000015,Round,G-S Hybrid,Sapphire Crystal,G-S Hybrid,Others,Women,50.0,2.0,Switzerland,35.70760000000008,0.0,0,No Bezel,0,21600.0,PVD,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
883500,Breitling,Automatic,41.0,11.6,Round,G-S Hybrid,Sapphire Crystal,G-S Hybrid,Butterfly,Men,30.0,2.0,Switzerland,38.0,26.0,0,Bi-directional Rotating Bezel,0,28800.0,No coating,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
864900,Breitling,Automatic,36.0,11.4,Round,G-S Hybrid,Sapphire Crystal,G-S Hybrid,Folding,Women,30.0,2.0,Switzerland,38.0,26.0,0,Bi-directional Rotating Bezel,0,28800.0,No coating,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146000,Longines,Quartz,36.0,152.08843999999996,Round,G-S Hybrid,Sapphire Crystal,G-S Hybrid,Folding,Men,30.0,2.0,Switzerland,51.75487999999999,0.0,0,No Bezel,0,28800.0,PVD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178000,Longines,Quartz,33.0,68.57962000000015,Round,G-S Hybrid,Sapphire Crystal,G-S Hybrid,Others,Women,30.0,2.0,Switzerland,49.636879999999984,0.0,0,No Bezel,0,28800.0,PVD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970000,Girard-Perregaux,Automatic,42.0,12.01,Octagon,Steel,Sapphire Crystal,Steel,Folding,Men,100.0,2.0,Switzerland,46.0,63.0,0,No Bezel,0,28800.0,No coating,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1600000,H. Moser & Cie.,Automatic,42.8,10.6,Round,Steel,Sapphire Crystal,Rubber,Tang,Men,120.0,2.0,Switzerland,72.0,27.0,0,No Bezel,0,21600.0,DLC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1600000,H. Moser & Cie.,Automatic,42.0,11.1,Round,Steel,Sapphire Crystal,Leather,Tang,Men,30.0,2.0,Switzerland,72.0,27.0,0,No Bezel,0,21600.0,No coating,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1370000,Arnold & Son,Manual Winding,43.0,13.837353333333327,Round,Steel,Sapphire Crystal,Steel,Folding,Men,30.0,2.0,Switzerland,192.0,33.0,0,No Bezel,0,21600.0,No coating,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
772632,Carl F. Bucherer,Automatic,43.0,14.45,Round,Steel,Sapphire Crystal,Steel,Folding,Men,30.0,2.0,Switzerland,42.0,29.0,0,No Bezel,0,28800.0,No coating,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
456000,Nomos Glashutte,Automatic,42.0,10.9,Round,Steel,Sapphire Crystal,Steel,Others,Men,300.0,2.0,Germany,42.0,27.0,0,No Bezel,0,21600.0,No coating,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
