price,Brand,Movement,Case Size,Case Thickness,Case Shape,Case Material,Glass Material,Strap Material,Clasp Type,Gender,Water Resistance (M),Warranty Period,Country of Origin,Power Reserve,Jewels,Interchangeable Strap,Bezel,Limited Edition,Frequency (bph),Case Material Coating,luminosity_on_Hands,luminosity_on_Hour,luminosity_on_Bezel,luminosity_on_Dial,precious_stone_on_Case,precious_stone_on_Dial,precious_stone_on_Bracelet,precious_stone_on_Crown,precious_stone_on_Clasp,precious_stone_on_Bezel,precious_stone_on_Lugs,feature_Triple Time-zone,feature_Flying Tourbillon,feature_Month,feature_Perpetual Calendar,feature_Tourbillon,feature_Small Seconds,feature_Day-Night Indicator,feature_Dual Time,feature_Retrograde,feature_Jumping Hours,feature_Moon Phase,feature_Power Reserve Indicator,feature_Date,feature_Year
90500,Tissot,Automatic,42.0,10.432469999999975,Round,G-S Hybrid,Sapphire Crystal,G-S Hybrid,Others,Men,50.0,2.0,Switzerland,72.508,0.0,0,No Bezel,0,21600.0,PVD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
355000,Baume & Mercier,Automatic,42.0,11.748739999999977,Round,Steel,Sapphire Crystal,Leather,Folding,Men,100.0,2.0,Switzerland,42.0,37.0,0,No Bezel,0,28800.0,No coating,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
514500,NORQAIN,Automatic,42.0,12.3,Round,Carbon-based,Sapphire Crystal,Rubber,Tang,Unisex,200.0,4.0,Switzerland,70.0,27.0,0,No Bezel,1,28800.0,No coating,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75000,Seiko,Automatic,38.0,12.9,Round,Steel,Sapphire Crystal,Steel,Folding,Men,200.0,2.0,Japan,70.0,24.0,0,No Bezel,0,28800.0,No coating,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
23600,Maserati,Quartz,44.0,11.0,Round,G-S Hybrid,Mineral Crystal,Silicone,Tang,Men,100.0,2.0,China,43.170639999999985,0.0,0,No Bezel,0,21600.0,PVD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
23600,Maserati,Quartz,43.0,10.7,Round,Steel,Mineral Crystal,Steel,Folding,Men,100.0,2.0,China,38.76112000000001,0.0,0,No Bezel,0,28800.0,PVD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
574200,Tudor,Automatic,41.0,12.2,Round,G-S Hybrid,Sapphire Crystal,G-S Hybrid,Folding,Men,100.0,5.0,Switzerland,70.0,25.0,0,No Bezel,0,28800.0,No coating,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
501300,Omega,Quartz,25.0,6.731719999999961,Round,G-S Hybrid,Sapphire Crystal,G-S Hybrid,Folding,Women,30.0,5.0,Switzerland,48.98936,0.0,0,No Bezel,0,28800.0,No coating,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22800,Zeppelin,Quartz,36.0,10.0,Round,Steel,Mineral Crystal,Steel,Folding,Women,50.0,2.0,Germany,40.113520000000015,0.0,0,No Bezel,0,28800.0,No coating,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
409200,Breitling,Automatic,42.0,12.1,Round,Steel,Sapphire Crystal,Leather,Folding,Men,300.0,2.0,Switzerland,38.0,25.0,0,Unidirectional Rotating Bezel,0,28800.0,No coating,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
950000,Grand Seiko,Spring Drive,43.8,13.8,Round,Titanium,Sapphire Crystal,Titanium,Folding,Men,200.0,5.0,Japan,120.0,38.0,0,Unidirectional Rotating Bezel,0,32768.0,No coating,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
513000,Eberhard & Co.,Automatic,39.0,9.905481333333306,Round,Steel,Sapphire Crystal,Leather,Tang,Men,50.0,2.0,Switzerland,42.0,27.0,0,No Bezel,0,28800.0,No coating,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
23680,Zeppelin,Quartz,36.0,7.0,Round,G-S Hybrid,Mineral Crystal,Leather,Others,Women,50.0,2.0,Germany,41.040719999999986,5.0,0,No Bezel,0,28800.0,PVD,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4800000,Jacob & Co.,Quartz,38.0,10.75,Round,Gold,Sapphire Crystal,Leather,Tang,Women,30.0,2.0,Switzerland,35.48376000000008,0.0,0,No Bezel,1,28800.0,No coating,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195100,NORQAIN,Automatic,42.0,11.4,Round,Steel,Sapphire Crystal,Leather,Tang,Men,100.0,2.0,Switzerland,38.0,26.0,0,No Bezel,0,28800.0,No coating,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
243800,Rado,Quartz,31.0,8.447220000000058,Rectangular,Gold,Sapphire Crystal,Gold,Others,Women,50.0,5.0,Switzerland,63.140319999999996,0.0,0,No Bezel,0,25200.0,PVD,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
111900,Rado,Automatic,35.0,9.47627999999999,Oval,G-S Hybrid,Sapphire Crystal,G-S Hybrid,Others,Men,30.0,5.0,Switzerland,76.69679999999998,0.0,0,No Bezel,0,28800.0,PVD,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5190000,Parmigiani,Automatic,42.0,14.3,Round,Gold,Sapphire Crystal,Rubber,Folding,Men,100.0,2.0,Switzerland,65.0,42.0,0,No Bezel,0,36000.0,No coating,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
270300,TAG Heuer,Quartz,32.0,10.55,Round,G-S Hybrid,Sapphire Crystal,G-S Hybrid,Folding,Women,300.0,2.0,Switzerland,36.62592000000006,0.0,0,Unidirectional Rotating Bezel,0,21600.0,No coating,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
116000,Baume & Mercier,Quartz,31.0,7.7128600000000365,Round,G-S Hybrid,Sapphire Crystal,Leather,Tang,Women,50.0,2.0,Switzerland,71.45239999999994,0.0,0,No Bezel,0,32768.0,PVD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
675000,Jaeger-LeCoultre,Quartz,40.1,8.914480000000019,Rectangular,Steel,Sapphire Crystal,Leather,Tang,Women,30.0,2.0,Switzerland,38.84120000000003,0.0,1,No Bezel,0,28800.0,No coating,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16400,Maserati,Quartz,43.0,10.7,Round,Steel,Mineral Crystal,Steel,Others,Men,50.0,2.0,China,35.82016000000008,0.0,0,No Bezel,0,21600.0,No coating,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
663000,TAG Heuer,Automatic,45.0,15.75,Round,Titanium,Sapphire Crystal,Titanium,Folding,Men,1000.0,2.0,Switzerland,70.0,28.0,0,Unidirectional Rotating Bezel,0,28800.0,No coating,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
719712,Carl F. Bucherer,Automatic,43.0,14.45,Round,Steel,Sapphire Crystal,Leather,Folding,Men,30.0,2.0,Switzerland,42.0,29.0,0,No Bezel,0,28000.0,No coating,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
201000,Doxa,Automatic,42.5,13.65,Round,Steel,Sapphire Crystal,Steel,Folding,Men,1200.0,2.0,Switzerland,38.0,25.0,0,Unidirectional Rotating Bezel,0,28800.0,No coating,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
77000,Tissot,Automatic,42.0,11.79777333333338,Round,Steel,Sapphire Crystal,Leather,Others,Men,50.0,2.0,Switzerland,69.928,0.0,0,No Bezel,0,28800.0,No coating,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
940000,Ulysse Nardin,Automatic,42.0,11.4,Round,Steel,Sapphire Crystal,Leather,Folding,Men,50.0,2.0,Switzerland,60.0,50.0,0,No Bezel,0,28800.0,No coating,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
282500,Rado,Automatic,42.0,10.57647333333335,Round,Bronze,Sapphire Crystal,Leather,Tang,Men,300.0,5.0,Switzerland,78.76817142857143,0.0,0,No Bezel,0,28800.0,No coating,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
669200,Panerai,Automatic,42.0,11.0,Cushion,Steel,Sapphire Crystal,Leather,Tang,Men,30.0,2.0,Switzerland,72.0,23.0,0,No Bezel,0,28800.0,No coating,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
280000,Baume & Mercier,Automatic,42.0,10.432514999999986,Round,Bronze,Sapphire Crystal,Leather,Tang,Men,100.0,2.0,Switzerland,54.738,0.0,0,No Bezel,0,21600.0,No coating,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2110000,Girard-Perregaux,Automatic,40.0,10.8,Round,Gold,Sapphire Crystal,Leather,Tang,Men,30.0,2.0,Switzerland,46.0,27.0,0,No Bezel,0,28800.0,No coating,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
499200,Omega,Quartz,28.0,7.647999999999962,Round,G-S Hybrid,Sapphire Crystal,G-S Hybrid,Others,Women,30.0,5.0,Switzerland,48.35792,0.0,0,No Bezel,0,28800.0,No coating,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84000,Tissot,Automatic,43.0,12.7,Round,G-S Hybrid,Sapphire Crystal,Others,Others,Men,300.0,2.0,Switzerland,80.0,0.0,0,No Bezel,0,28800.0,PVD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
436500,Frederique Constant,Automatic,41.0,12.9,Round,Steel,Sapphire Crystal,Steel,Folding,Men,50.0,2.0,Switzerland,38.0,26.0,1,No Bezel,0,28800.0,No coating,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
274000,Eberhard & Co.,Manual Winding,43.0,12.282556111111122,Round,Steel,Sapphire Crystal,Others,Others,Men,30.0,2.0,Switzerland,46.0,17.0,0,No Bezel,0,18000.0,No coating,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
883500,Breitling,Automatic,42.0,15.1,Round,Titanium,Sapphire Crystal,Rubber,Folding,Men,200.0,5.0,Switzerland,70.0,47.0,0,Unidirectional Rotating Bezel,0,28800.0,No coating,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
42000,Tissot,Quartz,30.0,7.722340000000038,Round,G-S Hybrid,Sapphire Crystal,G-S Hybrid,Butterfly,Women,50.0,2.0,Switzerland,55.05903999999998,3.0,0,No Bezel,0,36000.0,PVD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
396800,Tudor,Automatic,31.0,9.5,Round,Steel,Sapphire Crystal,Steel,Folding,Women,100.0,5.0,Switzerland,50.0,26.0,0,No Bezel,0,28800.0,No coating,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1392400,Omega,Manual Winding,44.25,13.0,Round,Ceramic,Sapphire Crystal,Rubber,Folding,Men,50.0,5.0,Switzerland,50.0,26.0,0,No Bezel,0,21600.0,No coating,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1580000,Girard-Perregaux,Automatic,40.0,10.8,Round,Steel,Sapphire Crystal,Steel,Folding,Men,30.0,2.0,Switzerland,46.0,32.0,0,No Bezel,0,28800.0,No coating,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
174000,Ernest Borel,Automatic,41.0,10.55,Round,G-S Hybrid,Sapphire Crystal,G-S Hybrid,Folding,Men,50.0,5.0,Switzerland,38.0,26.0,0,No Bezel,0,28800.0,PVD,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
115000,Raymond Weil,Quartz,22.6,6.281760000000028,Rectangular,G-S Hybrid,Sapphire Crystal,G-S Hybrid,Folding,Women,50.0,2.0,Switzerland,37.88552000000002,0.0,0,No Bezel,0,28800.0,PVD,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
164000,Junghans,Automatic,38.4,8.379600000000002,Round,Steel,Sapphire Crystal,Leather,Tang,Men,50.0,2.0,Germany,42.0,0.0,0,No Bezel,0,28800.0,No coating,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5350000,Jaeger-LeCoultre,Automatic,36.0,9.8,Round,Gold,Sapphire Crystal,Leather,Tang,Women,50.0,2.0,Switzerland,38.0,29.0,1,No Bezel,0,28800.0,No coating,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
110800,Rado,Quartz,38.0,8.7,Round,G-S Hybrid,Sapphire Crystal,G-S Hybrid,Butterfly,Unisex,50.0,5.0,Switzerland,74.21263999999998,0.0,0,No Bezel,0,28800.0,PVD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
227100,Rado,Automatic,38.0,8.329159999999968,Square,Ceramic,Sapphire Crystal,Ceramic,Others,Men,50.0,5.0,Switzerland,75.39312,0.0,0,No Bezel,0,28800.0,No coating,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
991400,Omega,Automatic,43.0,14.3,Round,Steel,Sapphire Crystal,Steel,Butterfly,Men,150.0,5.0,Switzerland,60.0,38.0,0,No Bezel,0,25200.0,No coating,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
28500,Tissot,Quartz,34.0,6.9,Round,Steel,Sapphire Crystal,Steel,Folding,Women,50.0,2.0,Switzerland,57.01415999999997,0.0,1,No Bezel,0,28800.0,No coating,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50500,Tissot,Quartz,41.0,11.24514000000001,Round,Steel,Sapphire Crystal,Leather,Others,Men,100.0,2.0,Switzerland,66.87831999999995,0.0,0,No Bezel,0,28800.0,No coating,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
171700,Rado,Quartz,30.5,8.9,Round,G-S Hybrid,Sapphire Crystal,G-S Hybrid,Butterfly,Women,50.0,5.0,Switzerland,62.89719999999999,0.0,0,No Bezel,0,28800.0,PVD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
17200,Maserati,Quartz,42.0,11.5,Round,Steel,Mineral Crystal,Steel,Folding,Men,100.0,2.0,China,35.76248000000007,0.0,0,No Bezel,0,21600.0,No coating,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
665000,Breitling,Automatic,43.0,13.97,Round,Steel,Sapphire Crystal,Leather,Tang,Men,100.0,5.0,Switzerland,70.0,47.0,0,Bi-directional Rotating Bezel,0,28800.0,No coating,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
35000,Seiko,Automatic,42.5,13.4,Round,Steel,Hardlex Crystal,Steel,Folding,Men,100.0,2.0,Japan,41.0,24.0,0,Unidirectional Rotating Bezel,0,21600.0,No coating,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
935000,Jaeger-LeCoultre,Automatic,42.0,13.1,Round,Steel,Sapphire Crystal,Rubber,Folding,Men,200.0,2.0,Switzerland,70.0,32.0,1,Internal Unidirectional Rotating Bezel,0,28800.0,No coating,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
171700,Rado,Automatic,31.8,9.7,Round,G-S Hybrid,Sapphire Crystal,Leather,Folding,Women,50.0,5.0,Switzerland,44.0,25.0,0,No Bezel,0,28800.0,PVD,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189500,Frederique Constant,Automatic,38.5,10.67,Round,Steel,Sapphire Crystal,Leather,Tang,Men,50.0,2.0,Switzerland,68.0,24.0,0,No Bezel,0,28800.0,No coating,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300900,TAG Heuer,Quartz,32.0,10.55,Round,G-S Hybrid,Sapphire Crystal,G-S Hybrid,Folding,Women,300.0,2.0,Switzerland,36.62592000000006,0.0,0,Unidirectional Rotating Bezel,0,21600.0,No coating,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4080000,Bovet,Manual Winding,42.0,9.05,Round,Gold,Sapphire Crystal,Leather,Tang,Men,30.0,5.0,Switzerland,168.0,35.0,0,No Bezel,1,21600.0,No coating,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1632000,IWC,Automatic,41.0,13.0,Round,Gold,Sapphire Crystal,Leather,Tang,Men,30.0,2.0,Switzerland,46.0,27.0,1,No Bezel,0,28800.0,No coating,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
