price,Brand,Movement,Case Size,Case Thickness,Case Shape,Case Material,Glass Material,Hands,Indexes,Strap Material,Clasp Type,Gender,Water Resistance (M),Warranty Period,Country of Origin,Display,Power Reserve,Jewels,Interchangeable Strap,Bezel,Limited Edition,Frequency (bph),Case Material Coating,feature_Day-Night Indicator,feature_Month,feature_Tourbillon,feature_Dual Time,feature_Retrograde,feature_Date,feature_Small Seconds,feature_Perpetual Calendar,feature_Triple Time-zone,feature_Jumping Hours,feature_Flying Tourbillon,feature_Power Reserve Indicator,feature_Year,feature_Moon Phase,luminosity_on_Hands,luminosity_on_Hour,luminosity_on_Bezel,luminosity_on_Dial,precious_stone_on_Case,precious_stone_on_Dial,precious_stone_on_Bracelet,precious_stone_on_Crown,precious_stone_on_Clasp,precious_stone_on_Bezel,precious_stone_on_Lugs,precious_stone_on_Buckle
1580000,Girard-Perregaux,Automatic,38.0,10.0,Octagon,Steel,Sapphire Crystal,Pencil,Baton,Steel,Folding,Unisex,100.0,2.0,Switzerland,Analog,46.0,27.0,0,No Bezel,0,28800.0,None,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2000000,Girard-Perregaux,Automatic,38.0,10.0,Octagon,Steel,Sapphire Crystal,Pencil,Baton,Steel,Folding,Women,100.0,2.0,Switzerland,Analog,46.0,27.0,0,No Bezel,0,28800.0,None,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
890000,Zenith,Automatic,41.0,11.6,Octagon,Steel,Sapphire Crystal,Baton,Baton,Steel,Folding,Unisex,100.0,2.0,Switzerland,Analog,60.0,26.0,1,No Bezel,0,36000.0,None,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1190000,Zenith,Automatic,36.0,10.35,Octagon,Steel,Sapphire Crystal,Baton,Baton,Steel,Folding,Women,100.0,2.0,Switzerland,Analog,50.0,27.0,1,No Bezel,0,28800.0,None,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
623800,Omega,Quartz,36.0,,Round,G-S Hybrid,Sapphire Crystal,,,G-S Hybrid,Folding,Men,30.0,5.0,Switzerland,,,0.0,0,No Bezel,0,,None,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
646100,Omega,Quartz,28.0,,Round,G-S Hybrid,Sapphire Crystal,,,G-S Hybrid,Others,Women,30.0,5.0,Switzerland,,,0.0,0,No Bezel,0,,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1288000,BVLGARI,Automatic,38.0,,Round,Gold,Sapphire Crystal,Pencil,Arabic Numerals,Leather,Tang,Men,50.0,5.0,Switzerland,Analog,42.0,26.0,0,No Bezel,0,28800.0,None,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
640000,BVLGARI,Quartz,33.0,,Round,G-S Hybrid,Sapphire Crystal,,,Steel,Folding,Women,30.0,5.0,Switzerland,,,0.0,0,No Bezel,0,,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
240000,Oris,Automatic,43.5,13.5,Round,Ceramic,Sapphire Crystal,Alpha,Baton,Steel,Folding,Men,300.0,2.0,Switzerland,Analog,41.0,26.0,0,Unidirectional Rotating Bezel,0,28800.0,None,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
235000,Oris,Automatic,36.5,12.0,Round,Steel,Sapphire Crystal,Alpha,Baton,Steel,Folding,Women,300.0,2.0,Switzerland,Analog,41.0,26.0,0,Unidirectional Rotating Bezel,0,28800.0,None,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
177300,Rado,Automatic,40.0,,Round,Ceramic,Sapphire Crystal,,,Ceramic,Others,Men,50.0,5.0,Switzerland,,,0.0,0,No Bezel,0,,None,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
227100,Rado,Automatic,30.0,,Round,Ceramic,Sapphire Crystal,,,Ceramic,Others,Women,50.0,5.0,Switzerland,,,0.0,0,No Bezel,0,,None,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
245000,Raymond Weil,Automatic,40.0,10.5,Square,Steel,Sapphire Crystal,Baton,Baton,Leather,Folding,Men,100.0,2.0,Switzerland,Analog,41.0,27.0,0,No Bezel,0,28800.0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
285000,Raymond Weil,Automatic,34.5,9.3,Square,Steel,Sapphire Crystal,Baton,Baton,Leather,Folding,Women,100.0,2.0,Switzerland,Analog,41.0,26.0,0,No Bezel,0,28800.0,None,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
227500,Frederique Constant,Automatic,41.0,,Round,G-S Hybrid,Sapphire Crystal,,,G-S Hybrid,Others,Men,50.0,2.0,Switzerland,Analog,38.0,26.0,0,No Bezel,0,28800.0,None,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151500,Frederique Constant,Quartz,31.0,,Round,G-S Hybrid,Sapphire Crystal,,,G-S Hybrid,Others,Women,50.0,2.0,Switzerland,,,0.0,0,No Bezel,0,,PVD,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
883500,Breitling,Automatic,41.0,11.6,Round,G-S Hybrid,Sapphire Crystal,Pencil,Baton,G-S Hybrid,Butterfly,Men,30.0,2.0,Switzerland,Analog,38.0,26.0,0,Bi-directional Rotating Bezel,0,28800.0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
864900,Breitling,Automatic,36.0,11.4,Round,G-S Hybrid,Sapphire Crystal,Pencil,Diamond,G-S Hybrid,Folding,Women,30.0,2.0,Switzerland,Analog,38.0,26.0,0,Bi-directional Rotating Bezel,0,28800.0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
146000,Longines,Quartz,36.0,,Round,G-S Hybrid,Sapphire Crystal,Stick,Roman Numerals,G-S Hybrid,Folding,Men,30.0,2.0,Switzerland,,,0.0,0,No Bezel,0,,PVD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
